                +-------------------+
+---------------| Система счисления |
|   №   | ASCII |   16   |   _10    |
+-------+-------+--------+----------+
|     1 |      |   00   |   000    |
|     2 |      |   01   |   001    |
|     3 |      |   02   |   002    |
|     4 |      |   03   |   003    |
|     5 |      |   04   |   004    |
|     6 |      |   05   |   005    |
|     7 |      |   06   |   006    |
|     8 |      |   07   |   007    |
|     9 |      |   08   |   008    |
|    10 |      |   09   |   009    |
|    11 |      |   0A   |   010    |
|    12 |      |   0B   |   011    |
|    13 |      |   0C   |   012    |
|    14 |      |   0D   |   013    |
|    15 |      |   0E   |   014    |
|    16 |      |   0F   |   015    |
|    17 |      |   10   |   016    |
|    18 |      |   11   |   017    |
|    19 |      |   12   |   018    |
|    20 |      |   13   |   019    |
|    21 |      |   14   |   020    |
|    22 |      |   15   |   021    |
|    23 |      |   16   |   022    |
|    24 |      |   17   |   023    |
|    25 |      |   18   |   024    |
|    26 |      |   19   |   025    |
|    27 |      |   1A   |   026    |
|    28 |      |   1B   |   027    |
|    29 |      |   1C   |   028    |
|    30 |      |   1D   |   029    |
|    31 |      |   1E   |   030    |
|    32 |      |   1F   |   031    |
|    33 |       |   20   |   032    |
|    34 |   !   |   21   |   033    |
|    35 |   "   |   22   |   034    |
|    36 |   #   |   23   |   035    |
|    37 |   $   |   24   |   036    |
|    38 |   %   |   25   |   037    |
|    39 |   &   |   26   |   038    |
|    40 |   '   |   27   |   039    |
|    41 |   (   |   28   |   040    |
|    42 |   )   |   29   |   041    |
|    43 |   *   |   2A   |   042    |
|    44 |   +   |   2B   |   043    |
|    45 |   ,   |   2C   |   044    |
|    46 |   -   |   2D   |   045    |
|    47 |   .   |   2E   |   046    |
|    48 |   /   |   2F   |   047    |
|    49 |   0   |   30   |   048    |
|    50 |   1   |   31   |   049    |
|    51 |   2   |   32   |   050    |
|    52 |   3   |   33   |   051    |
|    53 |   4   |   34   |   052    |
|    54 |   5   |   35   |   053    |
|    55 |   6   |   36   |   054    |
|    56 |   7   |   37   |   055    |
|    57 |   8   |   38   |   056    |
|    58 |   9   |   39   |   057    |
|    59 |   :   |   3A   |   058    |
|    60 |   ;   |   3B   |   059    |
|    61 |   <   |   3C   |   060    |
|    62 |   =   |   3D   |   061    |
|    63 |   >   |   3E   |   062    |
|    64 |   ?   |   3F   |   063    |
|    65 |   @   |   40   |   064    |
|    66 |   A   |   41   |   065    |
|    67 |   B   |   42   |   066    |
|    68 |   C   |   43   |   067    |
|    69 |   D   |   44   |   068    |
|    70 |   E   |   45   |   069    |
|    71 |   F   |   46   |   070    |
|    72 |   G   |   47   |   071    |
|    73 |   H   |   48   |   072    |
|    74 |   I   |   49   |   073    |
|    75 |   J   |   4A   |   074    |
|    76 |   K   |   4B   |   075    |
|    77 |   L   |   4C   |   076    |
|    78 |   M   |   4D   |   077    |
|    79 |   N   |   4E   |   078    |
|    80 |   O   |   4F   |   079    |
|    81 |   P   |   50   |   080    |
|    82 |   Q   |   51   |   081    |
|    83 |   R   |   52   |   082    |
|    84 |   S   |   53   |   083    |
|    85 |   T   |   54   |   084    |
|    86 |   U   |   55   |   085    |
|    87 |   V   |   56   |   086    |
