 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF69E29246Eh: <%1> = 0 | 00h | 000d
 00007FF69E293453h: <%2> = 1 | 01h | 001d
 00007FF69E294446h: <%3> = 2 | 02h | 002d
 00007FF69E295429h: <%4> = 3 | 03h | 003d
 00007FF69E29641Ch: <%5> = 4 | 04h | 004d
 00007FF69E297408h: <%6> = 5 | 05h | 005d
 00007FF69E298404h: <%7> = 6 | 06h | 006d
 00007FF69E2993FFh: <%8> = 7 | 07h | 007d
 00007FF69E29A40Ah: <%9> = 8 | 08h | 008d
 00007FF69E29B415h: <%10> = 9 | 09h | 009d
 00007FF69E29C3DEh: <%11> = 10 | 0Ah | 010d
 00007FF69E29D3B7h: <%12> = 11 | 0Bh | 011d
 00007FF69E29E3A0h: <%13> = 12 | 0Ch | 012d
 00007FF69E29F379h: <%14> = 13 | 0Dh | 013d
 00007FF69E2A0362h: <%15> = 14 | 0Eh | 014d
 00007FF69E2A134Eh: <%16> = 15 | 0Fh | 015d
 00007FF69E2A234Ah: <%17> = 16 | 10h | 016d
 00007FF69E2A3345h: <%18> = 17 | 11h | 017d
 00007FF69E2A4350h: <%19> = 18 | 12h | 018d
 00007FF69E2A535Bh: <%20> = 19 | 13h | 019d
 00007FF69E2A636Fh: <%21> = 20 | 14h | 020d
 00007FF69E2A7385h: <%22> = 21 | 15h | 021d
 00007FF69E2A839Fh: <%23> = 22 | 16h | 022d
 00007FF69E2A93B9h: <%24> = 23 | 17h | 023d
 00007FF69E2AA3A4h: <%25> = 24 | 18h | 024d
 00007FF69E2AB39Fh: <%26> = 25 | 19h | 025d
 00007FF69E2AC3AAh: <%27> = 26 | 1Ah | 026d
 00007FF69E2AD370h: <%28> = 27 | 1Bh | 027d
 00007FF69E2AE355h: <%29> = 28 | 1Ch | 028d
 00007FF69E2AF34Ah: <%30> = 29 | 1Dh | 029d
 00007FF69E2B034Fh: <%31> = 30 | 1Eh | 030d
 00007FF69E2B133Eh: <%32> = 31 | 1Fh | 031d
 00007FF69E2B233Dh: <%33> = 32 | 20h | 032d
 00007FF69E2B3365h: <%34> = 33 | 21h | 033d
 00007FF69E2B439Dh: <%35> = 34 | 22h | 034d
 00007FF69E2B53D5h: <%36> = 35 | 23h | 035d
 00007FF69E2B641Dh: <%37> = 36 | 24h | 036d
 00007FF69E2B73DFh: <%38> = 37 | 25h | 037d
 00007FF69E2B83B1h: <%39> = 38 | 26h | 038d
 00007FF69E2B9393h: <%40> = 39 | 27h | 039d
 00007FF69E2BA367h: <%41> = 40 | 28h | 040d
 00007FF69E2BB33Bh: <%42> = 41 | 29h | 041d
 00007FF69E2BC30Fh: <%43> = 42 | 2Ah | 042d
 00007FF69E2BD2E3h: <%44> = 43 | 2Bh | 043d
 00007FF69E2BE2C0h: <%45> = 44 | 2Ch | 044d
 00007FF69E2BF29Dh: <%46> = 45 | 2Dh | 045d
 00007FF69E2BF29Dh: <%47> = 46 | 2Eh | 046d
 00007FF69E2BF29Dh: <%48> = 47 | 2Fh | 047d
 00007FF69E2BF29Dh: <%49> = 48 | 30h | 048d
 00007FF69E2BF29Dh: <%50> = 49 | 31h | 049d
 00007FF69E2BF29Dh: <%51> = 50 | 32h | 050d
 00007FF69E2BF29Dh: <%52> = 51 | 33h | 051d
 00007FF69E2BF29Dh: <%53> = 52 | 34h | 052d
 00007FF69E2BF29Dh: <%54> = 53 | 35h | 053d
 00007FF69E2BF29Dh: <%55> = 54 | 36h | 054d
 00007FF69E2BF29Dh: <%56> = 55 | 37h | 055d
 00007FF69E2BF29Dh: <%57> = 56 | 38h | 056d
 00007FF69E2BF29Dh: <%58> = 57 | 39h | 057d
 00007FF69E2BF29Dh: <%59> = 58 | 3Ah | 058d
 00007FF69E2BF29Dh: <%60> = 59 | 3Bh | 059d
 00007FF69E2BF29Dh: <%61> = 60 | 3Ch | 060d
 00007FF69E2BF29Dh: <%62> = 61 | 3Dh | 061d
 00007FF69E2BF29Dh: <%63> = 62 | 3Eh | 062d
 00007FF69E2BF29Dh: <%64> = 63 | 3Fh | 063d
 00007FF69E2BF29Dh: <%65> = 64 | 40h | 064d
 00007FF69E2BF29Dh: <%66> = 65 | 41h | 065d
 00007FF69E2BF29Dh: <%67> = 66 | 42h | 066d
 00007FF69E2BF29Dh: <%68> = 67 | 43h | 067d
 00007FF69E2BF29Dh: <%69> = 68 | 44h | 068d
 00007FF69E2BF29Dh: <%70> = 69 | 45h | 069d
 00007FF69E2BF29Dh: <%71> = 70 | 46h | 070d
 00007FF69E2BF29Dh: <%72> = 71 | 47h | 071d
 00007FF69E2BF29Dh: <%73> = 72 | 48h | 072d
 00007FF69E2BF29Dh: <%74> = 73 | 49h | 073d
 00007FF69E2BF29Dh: <%75> = 74 | 4Ah | 074d
 00007FF69E2BF29Dh: <%76> = 75 | 4Bh | 075d
 00007FF69E2BF29Dh: <%77> = 76 | 4Ch | 076d
 00007FF69E2BF29Dh: <%78> = 77 | 4Dh | 077d
 00007FF69E2BF29Dh: <%79> = 78 | 4Eh | 078d
 00007FF69E2BF29Dh: <%80> = 79 | 4Fh | 079d
 00007FF69E2BF29Dh: <%81> = 80 | 50h | 080d
 00007FF69E2BF29Dh: <%82> = 81 | 51h | 081d
 00007FF69E2BF29Dh: <%83> = 82 | 52h | 082d
 00007FF69E2BF29Dh: <%84> = 83 | 53h | 083d
 00007FF69E2BF29Dh: <%85> = 84 | 54h | 084d
 00007FF69E2BF29Dh: <%86> = 85 | 55h | 085d
 00007FF69E2BF29Dh: <%87> = 86 | 56h | 086d
 00007FF69E2BF29Dh: <%88> = 87 | 57h | 087d
 00007FF69E2BF29Dh: <%89> = 88 | 58h | 088d
 00007FF69E2BF29Dh: <%90> = 89 | 59h | 089d
 00007FF69E2BF29Dh: <%91> = 90 | 5Ah | 090d
 00007FF69E2BF29Dh: <%92> = 91 | 5Bh | 091d
 00007FF69E2BF29Dh: <%93> = 92 | 5Ch | 092d
 00007FF69E2BF29Dh: <%94> = 93 | 5Dh | 093d
 00007FF69E2BF29Dh: <%95> = 94 | 5Eh | 094d
 00007FF69E2BF29Dh: <%96> = 95 | 5Fh | 095d
 00007FF69E2BF29Dh: <%97> = 96 | 60h | 096d
 00007FF69E2BF29Dh: <%98> = 97 | 61h | 097d
 00007FF69E2BF29Dh: <%99> = 98 | 62h | 098d
 00007FF69E2BF29Dh: <%100> = 99 | 63h | 099d
 00007FF69E2BF29Dh: <%101> = 100 | 64h | 100d
 00007FF69E2BF29Dh: <%102> = 101 | 65h | 101d
 00007FF69E2BF29Dh: <%103> = 102 | 66h | 102d
 00007FF69E2BF29Dh: <%104> = 103 | 67h | 103d
 00007FF69E2BF29Dh: <%105> = 104 | 68h | 104d
 00007FF69E2BF29Dh: <%106> = 105 | 69h | 105d
 00007FF69E2BF29Dh: <%107> = 106 | 6Ah | 106d
 00007FF69E2BF29Dh: <%108> = 107 | 6Bh | 107d
 00007FF69E2BF29Dh: <%109> = 108 | 6Ch | 108d
 00007FF69E2BF29Dh: <%110> = 109 | 6Dh | 109d
 00007FF69E2BF29Dh: <%111> = 110 | 6Eh | 110d
 00007FF69E2BF29Dh: <%112> = 111 | 6Fh | 111d
 00007FF69E2BF29Dh: <%113> = 112 | 70h | 112d
 00007FF69E2BF29Dh: <%114> = 113 | 71h | 113d
 00007FF69E2BF29Dh: <%115> = 114 | 72h | 114d
 00007FF69E2BF29Dh: <%116> = 115 | 73h | 115d
 00007FF69E2BF29Dh: <%117> = 116 | 74h | 116d
 00007FF69E2BF29Dh: <%118> = 117 | 75h | 117d
 00007FF69E2BF29Dh: <%119> = 118 | 76h | 118d
 00007FF69E2BF29Dh: <%120> = 119 | 77h | 119d
 00007FF69E2BF29Dh: <%121> = 120 | 78h | 120d
 00007FF69E2BF29Dh: <%122> = 121 | 79h | 121d
 00007FF69E2BF29Dh: <%123> = 122 | 7Ah | 122d
 00007FF69E2BF29Dh: <%124> = 123 | 7Bh | 123d
 00007FF69E2BF29Dh: <%125> = 124 | 7Ch | 124d
 00007FF69E2BF29Dh: <%126> = 125 | 7Dh | 125d
 00007FF69E2BF29Dh: <%127> = 126 | 7Eh | 126d
 00007FF69E2BF29Dh: <%128> = 127 | 7Fh | 127d
 00007FF69E2BF29Dh: <%129> = 128 | 80h | 128d
 00007FF69E2BF29Dh: <%130> = 129 | 81h | 129d
 00007FF69E2BF29Dh: <%131> = 130 | 82h | 130d
 00007FF69E2BF29Dh: <%132> = 131 | 83h | 131d
 00007FF69E2BF29Dh: <%133> = 132 | 84h | 132d
 00007FF69E2BF29Dh: <%134> = 133 | 85h | 133d
 00007FF69E2BF29Dh: <%135> = 134 | 86h | 134d
 00007FF69E2BF29Dh: <%136> = 135 | 87h | 135d
 00007FF69E2BF29Dh: <%137> = 136 | 88h | 136d
 00007FF69E2BF29Dh: <%138> = 137 | 89h | 137d
 00007FF69E2BF29Dh: <%139> = 138 | 8Ah | 138d
 00007FF69E2BF29Dh: <%140> = 139 | 8Bh | 139d
 00007FF69E2BF29Dh: <%141> = 140 | 8Ch | 140d
 00007FF69E2BF29Dh: <%142> = 141 | 8Dh | 141d
 00007FF69E2BF29Dh: <%143> = 142 | 8Eh | 142d
 00007FF69E2BF29Dh: <%144> = 143 | 8Fh | 143d
 00007FF69E2BF29Dh: <%145> = 144 | 90h | 144d
 00007FF69E2BF29Dh: <%146> = 145 | 91h | 145d
 00007FF69E2BF29Dh: <%147> = 146 | 92h | 146d
 00007FF69E2BF29Dh: <%148> = 147 | 93h | 147d
 00007FF69E2BF29Dh: <%149> = 148 | 94h | 148d
 00007FF69E2BF29Dh: <%150> = 149 | 95h | 149d
 00007FF69E2BF29Dh: <%151> = 150 | 96h | 150d
 00007FF69E2BF29Dh: <%152> = 151 | 97h | 151d
 00007FF69E2BF29Dh: <%153> = 152 | 98h | 152d
 00007FF69E2BF29Dh: <%154> = 153 | 99h | 153d
 00007FF69E2BF29Dh: <%155> = 154 | 9Ah | 154d
 00007FF69E2BF29Dh: <%156> = 155 | 9Bh | 155d
 00007FF69E2BF29Dh: <%157> = 156 | 9Ch | 156d
 00007FF69E2BF29Dh: <%158> = 157 | 9Dh | 157d
 00007FF69E2BF29Dh: <%159> = 158 | 9Eh | 158d
 00007FF69E2BF29Dh: <%160> = 159 | 9Fh | 159d
 00007FF69E2BF29Dh: <%161> = 160 | A0h | 160d
 00007FF69E2BF29Dh: <%162> = 161 | A1h | 161d
 00007FF69E2BF29Dh: <%163> = 162 | A2h | 162d
 00007FF69E2BF29Dh: <%164> = 163 | A3h | 163d
 00007FF69E2BF29Dh: <%165> = 164 | A4h | 164d
 00007FF69E2BF29Dh: <%166> = 165 | A5h | 165d
 00007FF69E2BF29Dh: <%167> = 166 | A6h | 166d
 00007FF69E2BF29Dh: <%168> = 167 | A7h | 167d
 00007FF69E2BF29Dh: <%169> = 168 | A8h | 168d
 00007FF69E2BF29Dh: <%170> = 169 | A9h | 169d
 00007FF69E2BF29Dh: <%171> = 170 | AAh | 170d
 00007FF69E2BF29Dh: <%172> = 171 | ABh | 171d
 00007FF69E2BF29Dh: <%173> = 172 | ACh | 172d
 00007FF69E2BF29Dh: <%174> = 173 | ADh | 173d
 00007FF69E2BF29Dh: <%175> = 174 | AEh | 174d
 00007FF69E2BF29Dh: <%176> = 175 | AFh | 175d
 00007FF69E2BF29Dh: <%177> = 176 | B0h | 176d
 00007FF69E2BF29Dh: <%178> = 177 | B1h | 177d
 00007FF69E2BF29Dh: <%179> = 178 | B2h | 178d
 00007FF69E2BF29Dh: <%180> = 179 | B3h | 179d
 00007FF69E2BF29Dh: <%181> = 180 | B4h | 180d
 00007FF69E2BF29Dh: <%182> = 181 | B5h | 181d
 00007FF69E2BF29Dh: <%183> = 182 | B6h | 182d
 00007FF69E2BF29Dh: <%184> = 183 | B7h | 183d
 00007FF69E2BF29Dh: <%185> = 184 | B8h | 184d
 00007FF69E2BF29Dh: <%186> = 185 | B9h | 185d
 00007FF69E2BF29Dh: <%187> = 186 | BAh | 186d
 00007FF69E2BF29Dh: <%188> = 187 | BBh | 187d
 00007FF69E2BF29Dh: <%189> = 188 | BCh | 188d
 00007FF69E2BF29Dh: <%190> = 189 | BDh | 189d
 00007FF69E2BF29Dh: <%191> = 190 | BEh | 190d
 00007FF69E2BF29Dh: <%192> = 191 | BFh | 191d
 00007FF69E2BF29Dh: <%193> = 192 | C0h | 192d
 00007FF69E2BF29Dh: <%194> = 193 | C1h | 193d
 00007FF69E2BF29Dh: <%195> = 194 | C2h | 194d
 00007FF69E2BF29Dh: <%196> = 195 | C3h | 195d
 00007FF69E2BF29Dh: <%197> = 196 | C4h | 196d
 00007FF69E2BF29Dh: <%198> = 197 | C5h | 197d
 00007FF69E2BF29Dh: <%199> = 198 | C6h | 198d
 00007FF69E2BF29Dh: <%200> = 199 | C7h | 199d
