 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF7742E22BFh: <%1> = 0 | \h00 | \d000
 00007FF7742E32A4h: <%2> = 1 | \h01 | \d001
 00007FF7742E4297h: <%3> = 2 | \h02 | \d002
 00007FF7742E527Ah: <%4> = 3 | \h03 | \d003
 00007FF7742E626Dh: <%5> = 4 | \h04 | \d004
 00007FF7742E7259h: <%6> = 5 | \h05 | \d005
 00007FF7742E8255h: <%7> = 6 | \h06 | \d006
 00007FF7742E9250h: <%8> = 7 | \h07 | \d007
 00007FF7742EA25Bh: <%9> = 8 | \h08 | \d008
 00007FF7742EB266h: <%10> = 9 | \h09 | \d009
 00007FF7742EC22Fh: <%11> = 10 | \h0A | \d010
 00007FF7742ED208h: <%12> = 11 | \h0B | \d011
 00007FF7742EE1F1h: <%13> = 12 | \h0C | \d012
 00007FF7742EF1CAh: <%14> = 13 | \h0D | \d013
 00007FF7742F01B3h: <%15> = 14 | \h0E | \d014
 00007FF7742F119Fh: <%16> = 15 | \h0F | \d015
 00007FF7742F219Bh: <%17> = 16 | \h10 | \d016
 00007FF7742F3196h: <%18> = 17 | \h11 | \d017
 00007FF7742F41A1h: <%19> = 18 | \h12 | \d018
 00007FF7742F51ACh: <%20> = 19 | \h13 | \d019
 00007FF7742F61C0h: <%21> = 20 | \h14 | \d020
 00007FF7742F71D6h: <%22> = 21 | \h15 | \d021
 00007FF7742F81F0h: <%23> = 22 | \h16 | \d022
 00007FF7742F920Ah: <%24> = 23 | \h17 | \d023
 00007FF7742FA1F5h: <%25> = 24 | \h18 | \d024
 00007FF7742FB1F0h: <%26> = 25 | \h19 | \d025
 00007FF7742FC1FBh: <%27> = 26 | \h1A | \d026
 00007FF7742FD1C1h: <%28> = 27 | \h1B | \d027
 00007FF7742FE1A6h: <%29> = 28 | \h1C | \d028
 00007FF7742FF19Bh: <%30> = 29 | \h1D | \d029
 00007FF7743001A0h: <%31> = 30 | \h1E | \d030
 00007FF77430118Fh: <%32> = 31 | \h1F | \d031
 00007FF77430218Eh: <%33> = 32 | \h20 | \d032
 00007FF7743031B6h: <%34> = 33 | \h21 | \d033
 00007FF7743041EEh: <%35> = 34 | \h22 | \d034
 00007FF774305226h: <%36> = 35 | \h23 | \d035
 00007FF77430626Eh: <%37> = 36 | \h24 | \d036
 00007FF774307230h: <%38> = 37 | \h25 | \d037
 00007FF774308202h: <%39> = 38 | \h26 | \d038
 00007FF7743091E4h: <%40> = 39 | \h27 | \d039
 00007FF77430A1B8h: <%41> = 40 | \h28 | \d040
 00007FF77430B18Ch: <%42> = 41 | \h29 | \d041
 00007FF77430C160h: <%43> = 42 | \h2A | \d042
 00007FF77430D134h: <%44> = 43 | \h2B | \d043
 00007FF77430E111h: <%45> = 44 | \h2C | \d044
 00007FF77430F0EEh: <%46> = 45 | \h2D | \d045
 00007FF77430F0EEh: <%47> = 46 | \h2E | \d046
 00007FF77430F0EEh: <%48> = 47 | \h2F | \d047
 00007FF77430F0EEh: <%49> = 48 | \h30 | \d048
 00007FF77430F0EEh: <%50> = 49 | \h31 | \d049
 00007FF77430F0EEh: <%51> = 50 | \h32 | \d050
 00007FF77430F0EEh: <%52> = 51 | \h33 | \d051
 00007FF77430F0EEh: <%53> = 52 | \h34 | \d052
 00007FF77430F0EEh: <%54> = 53 | \h35 | \d053
 00007FF77430F0EEh: <%55> = 54 | \h36 | \d054
 00007FF77430F0EEh: <%56> = 55 | \h37 | \d055
 00007FF77430F0EEh: <%57> = 56 | \h38 | \d056
 00007FF77430F0EEh: <%58> = 57 | \h39 | \d057
 00007FF77430F0EEh: <%59> = 58 | \h3A | \d058
 00007FF77430F0EEh: <%60> = 59 | \h3B | \d059
 00007FF77430F0EEh: <%61> = 60 | \h3C | \d060
 00007FF77430F0EEh: <%62> = 61 | \h3D | \d061
 00007FF77430F0EEh: <%63> = 62 | \h3E | \d062
 00007FF77430F0EEh: <%64> = 63 | \h3F | \d063
 00007FF77430F0EEh: <%65> = 64 | \h40 | \d064
 00007FF77430F0EEh: <%66> = 65 | \h41 | \d065
 00007FF77430F0EEh: <%67> = 66 | \h42 | \d066
 00007FF77430F0EEh: <%68> = 67 | \h43 | \d067
 00007FF77430F0EEh: <%69> = 68 | \h44 | \d068
 00007FF77430F0EEh: <%70> = 69 | \h45 | \d069
 00007FF77430F0EEh: <%71> = 70 | \h46 | \d070
 00007FF77430F0EEh: <%72> = 71 | \h47 | \d071
 00007FF77430F0EEh: <%73> = 72 | \h48 | \d072
 00007FF77430F0EEh: <%74> = 73 | \h49 | \d073
 00007FF77430F0EEh: <%75> = 74 | \h4A | \d074
 00007FF77430F0EEh: <%76> = 75 | \h4B | \d075
 00007FF77430F0EEh: <%77> = 76 | \h4C | \d076
 00007FF77430F0EEh: <%78> = 77 | \h4D | \d077
 00007FF77430F0EEh: <%79> = 78 | \h4E | \d078
 00007FF77430F0EEh: <%80> = 79 | \h4F | \d079
 00007FF77430F0EEh: <%81> = 80 | \h50 | \d080
 00007FF77430F0EEh: <%82> = 81 | \h51 | \d081
 00007FF77430F0EEh: <%83> = 82 | \h52 | \d082
 00007FF77430F0EEh: <%84> = 83 | \h53 | \d083
 00007FF77430F0EEh: <%85> = 84 | \h54 | \d084
 00007FF77430F0EEh: <%86> = 85 | \h55 | \d085
 00007FF77430F0EEh: <%87> = 86 | \h56 | \d086
 00007FF77430F0EEh: <%88> = 87 | \h57 | \d087
 00007FF77430F0EEh: <%89> = 88 | \h58 | \d088
 00007FF77430F0EEh: <%90> = 89 | \h59 | \d089
 00007FF77430F0EEh: <%91> = 90 | \h5A | \d090
 00007FF77430F0EEh: <%92> = 91 | \h5B | \d091
 00007FF77430F0EEh: <%93> = 92 | \h5C | \d092
 00007FF77430F0EEh: <%94> = 93 | \h5D | \d093
 00007FF77430F0EEh: <%95> = 94 | \h5E | \d094
 00007FF77430F0EEh: <%96> = 95 | \h5F | \d095
 00007FF77430F0EEh: <%97> = 96 | \h60 | \d096
 00007FF77430F0EEh: <%98> = 97 | \h61 | \d097
 00007FF77430F0EEh: <%99> = 98 | \h62 | \d098
 00007FF77430F0EEh: <%100> = 99 | \h63 | \d099
 00007FF77430F0EEh: <%101> = 100 | \h64 | \d100
 00007FF77430F0EEh: <%102> = 101 | \h65 | \d101
 00007FF77430F0EEh: <%103> = 102 | \h66 | \d102
 00007FF77430F0EEh: <%104> = 103 | \h67 | \d103
 00007FF77430F0EEh: <%105> = 104 | \h68 | \d104
 00007FF77430F0EEh: <%106> = 105 | \h69 | \d105
 00007FF77430F0EEh: <%107> = 106 | \h6A | \d106
 00007FF77430F0EEh: <%108> = 107 | \h6B | \d107
 00007FF77430F0EEh: <%109> = 108 | \h6C | \d108
 00007FF77430F0EEh: <%110> = 109 | \h6D | \d109
 00007FF77430F0EEh: <%111> = 110 | \h6E | \d110
 00007FF77430F0EEh: <%112> = 111 | \h6F | \d111
 00007FF77430F0EEh: <%113> = 112 | \h70 | \d112
 00007FF77430F0EEh: <%114> = 113 | \h71 | \d113
 00007FF77430F0EEh: <%115> = 114 | \h72 | \d114
 00007FF77430F0EEh: <%116> = 115 | \h73 | \d115
 00007FF77430F0EEh: <%117> = 116 | \h74 | \d116
 00007FF77430F0EEh: <%118> = 117 | \h75 | \d117
 00007FF77430F0EEh: <%119> = 118 | \h76 | \d118
 00007FF77430F0EEh: <%120> = 119 | \h77 | \d119
 00007FF77430F0EEh: <%121> = 120 | \h78 | \d120
 00007FF77430F0EEh: <%122> = 121 | \h79 | \d121
 00007FF77430F0EEh: <%123> = 122 | \h7A | \d122
 00007FF77430F0EEh: <%124> = 123 | \h7B | \d123
 00007FF77430F0EEh: <%125> = 124 | \h7C | \d124
 00007FF77430F0EEh: <%126> = 125 | \h7D | \d125
 00007FF77430F0EEh: <%127> = 126 | \h7E | \d126
 00007FF77430F0EEh: <%128> = 127 | \h7F | \d127
 00007FF77430F0EEh: <%129> = 128 | \h80 | \d128
 00007FF77430F0EEh: <%130> = 129 | \h81 | \d129
 00007FF77430F0EEh: <%131> = 130 | \h82 | \d130
 00007FF77430F0EEh: <%132> = 131 | \h83 | \d131
 00007FF77430F0EEh: <%133> = 132 | \h84 | \d132
 00007FF77430F0EEh: <%134> = 133 | \h85 | \d133
 00007FF77430F0EEh: <%135> = 134 | \h86 | \d134
 00007FF77430F0EEh: <%136> = 135 | \h87 | \d135
 00007FF77430F0EEh: <%137> = 136 | \h88 | \d136
 00007FF77430F0EEh: <%138> = 137 | \h89 | \d137
 00007FF77430F0EEh: <%139> = 138 | \h8A | \d138
 00007FF77430F0EEh: <%140> = 139 | \h8B | \d139
 00007FF77430F0EEh: <%141> = 140 | \h8C | \d140
 00007FF77430F0EEh: <%142> = 141 | \h8D | \d141
 00007FF77430F0EEh: <%143> = 142 | \h8E | \d142
 00007FF77430F0EEh: <%144> = 143 | \h8F | \d143
 00007FF77430F0EEh: <%145> = 144 | \h90 | \d144
 00007FF77430F0EEh: <%146> = 145 | \h91 | \d145
 00007FF77430F0EEh: <%147> = 146 | \h92 | \d146
 00007FF77430F0EEh: <%148> = 147 | \h93 | \d147
 00007FF77430F0EEh: <%149> = 148 | \h94 | \d148
 00007FF77430F0EEh: <%150> = 149 | \h95 | \d149
 00007FF77430F0EEh: <%151> = 150 | \h96 | \d150
 00007FF77430F0EEh: <%152> = 151 | \h97 | \d151
 00007FF77430F0EEh: <%153> = 152 | \h98 | \d152
 00007FF77430F0EEh: <%154> = 153 | \h99 | \d153
 00007FF77430F0EEh: <%155> = 154 | \h9A | \d154
 00007FF77430F0EEh: <%156> = 155 | \h9B | \d155
 00007FF77430F0EEh: <%157> = 156 | \h9C | \d156
 00007FF77430F0EEh: <%158> = 157 | \h9D | \d157
 00007FF77430F0EEh: <%159> = 158 | \h9E | \d158
 00007FF77430F0EEh: <%160> = 159 | \h9F | \d159
 00007FF77430F0EEh: <%161> = 160 | \hA0 | \d160
 00007FF77430F0EEh: <%162> = 161 | \hA1 | \d161
 00007FF77430F0EEh: <%163> = 162 | \hA2 | \d162
 00007FF77430F0EEh: <%164> = 163 | \hA3 | \d163
 00007FF77430F0EEh: <%165> = 164 | \hA4 | \d164
 00007FF77430F0EEh: <%166> = 165 | \hA5 | \d165
 00007FF77430F0EEh: <%167> = 166 | \hA6 | \d166
 00007FF77430F0EEh: <%168> = 167 | \hA7 | \d167
 00007FF77430F0EEh: <%169> = 168 | \hA8 | \d168
 00007FF77430F0EEh: <%170> = 169 | \hA9 | \d169
 00007FF77430F0EEh: <%171> = 170 | \hAA | \d170
 00007FF77430F0EEh: <%172> = 171 | \hAB | \d171
 00007FF77430F0EEh: <%173> = 172 | \hAC | \d172
 00007FF77430F0EEh: <%174> = 173 | \hAD | \d173
 00007FF77430F0EEh: <%175> = 174 | \hAE | \d174
 00007FF77430F0EEh: <%176> = 175 | \hAF | \d175
 00007FF77430F0EEh: <%177> = 176 | \hB0 | \d176
 00007FF77430F0EEh: <%178> = 177 | \hB1 | \d177
 00007FF77430F0EEh: <%179> = 178 | \hB2 | \d178
 00007FF77430F0EEh: <%180> = 179 | \hB3 | \d179
 00007FF77430F0EEh: <%181> = 180 | \hB4 | \d180
